,Dominic Drakes,,,,,,,Open,dominic-drakes,13750
,Jayant Yadav,,,,,,,Open,jayant-yadav,8182
,Varun Aaron,,,,,,,Open,varun-aaron,6293
,Darshan Nalkande,,,,,,,Open,darshan-nalkande,12779
,Yash Dayal,,,,,,,Open,yash-dayal,14172
,Pradeep Sangwan,,,,,,,Open,pradeep-sangwan,1472
,Alzarri Joseph,,,,,,,Open,alzarri-joseph,11220
,Ravisrinivasan Sai Kishore,,,,,,,Open,ravisrinivasan-sai-kishore,11595
,Noor Ahmad,,,,,,,Open,noor-ahmad,15452
,Manan Vohra,,,,,,,Open,manan-vohra,8358
,Evin Lewis,,,,,,,Open,evin-lewis,8579
,Kyle Mayers,,,,,,,Open,kyle-mayers,8440
,Karan Sharma,,,,,,,Open,karan-sharma,18738
,Deepak Hooda,,,,,,,Open,deepak-hooda,9427
,Ayush Badoni,,,,,,,Open,ayush-badoni,13907
,Dushmantha Chameera,,,,,,,Open,dushmantha-chameera,8393
,Shahbaz Nadeem,,,,,,,Open,shahbaz-nadeem,7906
,Mohsin Khan,,,,,,,Open,mohsin-khan,13534
,Mayank Yadav,,,,,,,Open,mayank-yadav,22401
,Shashank Singh,,,,,,,Open,shashank-singh,10919
,Ravikumar Samarth,,,,,,,Open,ravikumar-samarth,9688
,Shreyas Gopal,,,,,,,Open,shreyas-gopal,9746
,Glenn Phillips,,,,,,,Open,glenn-phillips,10693
,Vishnu Vinod,,,,,,,Open,vishnu-vinod,11893
,Saurabh Dubey,,,,,,,Open,saurabh-dubey,15766
,Fazalhaq Farooqi,,,,,,,Open,fazalhaq-farooqi,14282
,Karun Nair,,,,,,,Open,karun-nair,8257
,Shimron Hetmyer,,,,,,,Open,shimron-hetmyer,9789
,Riyan Parag,,,,,,,Open,riyan-parag,12305
,James Neesham,,,,,,,Open,james-neesham,8983
,Anunay Singh,,,,,,,Open,anunay-singh,14049
,Dhruv Jurel,,,,,,,Open,dhruv-jurel,14691
,Shubham Garhwal,,,,,,,Open,shubham-garhwal,22471
,Kuldip Yadav,,,,,,,Open,kuldip-yadav,13537
,Nathan Coulter Nile,,,,,,,Open,nathan-coulter-nile,7774
,Navdeep Saini,,,,,,,Open,navdeep-saini,9715
,Kuldeep Sen,,,,,,,Open,kuldeep-sen,14336
,Obed Mccoy,,,,,,,Open,obed-mccoy,11221
,Tejas Baroka,,,,,,,Open,tejas-baroka,12639
,Kc Cariappa,,,,,,,Open,kc-cariappa,10353
