S. No.,Player,Team,Type,Role,Tier,Base Price,Winning Bid,Owner,,,,,,,,
132,Tymal Mills,Mumbai Indians,O,Bowler,2,2.5,,,,,,,,,,
133,Riley Meredith,Mumbai Indians,O,Bowler,2,2.5,,,,,,,,,,
134,Murugan Ashwin,Mumbai Indians,I,Bowler,3,1,,,,,,,,,,
135,Basil Thampi,Mumbai Indians,I,Bowler,3,1,,,,,,,,,,
136,Kieron Pollard,Mumbai Indians,O,All-Rounder,2,2.5,4,Pranav,,,,,,,,
137,Hrithik Shokeen,Mumbai Indians,I,All-Rounder,3,1,,,,,,,,,,
138,Arjun Tendulkar,Mumbai Indians,I,All-Rounder,3,1,,,,,,,,,,
139,Sanjay Yadav,Mumbai Indians,I,All-Rounder,3,1,,,,,,,,,,
140,Daniel Sams,Mumbai Indians,O,All-Rounder,2,2.5,1,Ram,,,,,,,,
141,Tim David,Mumbai Indians,O,All-Rounder,3,1,5.5,Avadesh,,,,,,,,
142,Fabian Allen,Mumbai Indians,O,All-Rounder,3,1,,,,,,,,,,
143,Mayank Agarwal,Punjab Kings,I,Batsman,1,5,9,Shekhar,,,,,,,,
144,Prerak Mankad,Punjab Kings,I,Batsman,3,1,,,,,,,,,,
145,Bhanuka Rajapaksa,Punjab Kings,O,Batsman,3,1,,,,,,,,,,
146,Shahrukh Khan,Punjab Kings,I,Batsman,2,2.5,3.5,Avadesh,,,,,,,,
147,Shikhar Dhawan,Punjab Kings,I,Batsman,1,5,10,Ram,,,,,,,,
148,Prabhsimran Singh,Punjab Kings,I,WK,3,1,,,,,,,,,,
149,Jitesh Sharma,Punjab Kings,I,WK,3,1,,,,,,,,,,
150,Jonny Bairstow,Punjab Kings,O,WK,2,2.5,3,Dhruv,,,,,,,,
151,Arshdeep Singh,Punjab Kings,I,Bowler,2,2.5,2.5,Dhruv,,,,,,,,
152,Writtick Chatterjee,Punjab Kings,I,Bowler,3,1,,,,,,,,,,
153,Odean Smith,Punjab Kings,O,Bowler,3,1,,,,,,,,,,
154,Sandeep Sharma,Punjab Kings,I,Bowler,2,2.5,,,,,,,,,,
